Acknowledge alerts,ACALT,Y
Acknowledge notifications,ACNOT,Y
Create alerts,CRALT,Y
Create notifications,CRNOT,Y
Delete alerts,DEALT,Y
Delete notifications,DENOT,Y
Disable alerts,DAALT,Y
Disable notifications,DANOT,Y
Edit alerts,EDALT,Y
Edit notofications,EDNOT,Y
import alerts,IMALT,Y
import notifications,IMNOT,Y
View alerts,VIALT,Y
View notifications,VINOT,Y
Change password self,CHPWS,Y
Change password others,CHPWO,Y
Search by keyword,SEBKW,Y
Access getting started wizard,ACGSW,Y
Access FAQ,ACFAQ,Y
Configuration button,CNBUT,Y
Create License,CRLIC,N
Create party,CRPTY,Y
Delete License,DELIC,N
Edit License,EDLIC,N
List view License,LVLIC,Y
List view party,LVPTY,Y
View License,VILIC,Y
Business setup Menu,BSPMN,Y
Business setup Sub menu,BSPSM,Y
Add zone/ sub zone,AZSBZ,Y
Edit zone/ sub zone,EZSBZ,Y
delete zone/ sub zone,DZSBZ,Y
Configure site settings,CFESS,Y
edit site settings,EDSST,Y
Delete site settings ,DESST,Y
View site settings,VISST,Y
Add contract,ADCON,Y
edit contract,EDCON,Y
delete contract ,DECON,Y
View contract,VICON,Y
Add Scope,ADSCO,Y
Edit scope,EDSCO,Y
Delete scope,DESCO,Y
View Scope,VISCO,Y
Add manpower plan,ADMPP,Y
Edit manpower plan,EDMPP,Y
View manpower plan,VIMPP,Y
Create Equipment ,CREQU,Y
Create Location,CRLOC,Y
Create parentNchild relationship,CRPCR,Y
Delete Equipment,DEEQU,Y
Delete Location,DELOC,Y
Delete parentNchild relationship,DEPCR,Y
Edit Equipment,EDEQU,Y
Edit Location,EDLOC,Y
Edit parentNchild relationship,EDPCR,Y
Import Equipment,IMEQU,Y
Import location,IMLOC,Y
Import parentNchild relationship,IMPCR,Y
List view Equipment,LVEQU,Y
List view of location,LVLOC,Y
View Equipment,VIEQU,Y
View location,VILOC,Y
View parentNchild relationship,VIPCR,Y
Maintenance setup Menu,MSMNU,Y
Maintenance setup Submenu,MSSMN,Y
Create check,CRCHK,Y
Create Check list,CRCHL,Y
Create LOTO,CRLOT,Y
Create task,CRTSK,Y
Create Tasks list,CRTSL,Y
Create WO Schedule,CRWOS,Y
create Work order template,CRWOT,Y
Create work permit,CRWPR,Y
Delete check,DECHK,Y
Delete Check list,DECHL,Y
Delete LOTO,DELOT,Y
Delete task,DETAS,Y
Delete Tasks list,DETSL,Y
Delete WO Schedule,DEWOS,Y
Delete work order,DEWOR,Y
Delete work order template,DEWOT,Y
Delete work permit,DEWPR,Y
Edit check,EDCHK,Y
Edit Check list,EDCHL,Y
Edit LOTO,EDLOT,Y
Edit task,EDTSK,Y
Edit Tasks list,EDTSL,Y
Edit WO Schedule,EDWOS,Y
Edit work order,EDWOR,Y
Edit work order template,EDWOT,Y
Edit work permit ,EDWPR,Y
Import Check list,IMCKL,Y
Import LOTO,IMLOT,Y
Import Task list,IMTSL,Y
Import WO Schedule,IMWOS,Y
Import work permit,IMWPR,Y
List view Check list,LVCKL,Y
List view LOTO,LVILT,Y
List view tasks list,LVTSL,Y
List view WO Schedule,LVWOS,Y
List view work order template,LVWOT,Y
View check,VICHK,Y
View Check list,VICHL,Y
View list of checks,VLCHK,Y
View list of tasks,VLTAS,Y
View LOTO,VILOT,Y
View task,VITAS,Y
View Tasks list,VITSL,Y
View WO Schedule,VIWOS,Y
View work order template,VIWOT,Y
View work permit,VIWOP,Y
People Menu,PPLMN,Y
People Sub menu,PPLSM,Y
Create employee,CREMP,Y
Create org unit,CRORU,Y
Create shift,CRSHF,Y
Create User group,CRURG,Y
Create Users,CRURS,Y
Create Users profile,CRURP,Y
Create Users roster,CRURR,Y
Delete employee,DEEMP,Y
Delete org unit,DEORU,Y
Delete shift,DESHF,Y
Delete User group,DEURG,Y
Delete Users,DEURS,Y
Delete Users profile,DEURP,Y
Delete Users roster,DEURR,Y
Edit employee,EDEMP,Y
Edit org unit,EDORU,Y
Edit shift,EDSHF,Y
Edit User group,EDURG,Y
Edit Users,EDURS,Y
Edit Users profile,EDURP,Y
Edit Users roster,EDURR,Y
List view of shifts,LVSHF,Y
List View User group,LVURG,Y
List View Users,LVURS,Y
List View Users profile,LVURP,Y
List View Users roster,LVURR,Y
View employee,VIEMP,Y
