Acknowledge alerts,ACALT,N
Acknowledge notifications,ACNOT,N
Create alerts,CRALT,Y
Create notifications,CRNOT,N
Delete alerts,DEALT,N
Delete notifications,DENOT,N
Disable alerts,DAALT,N
Disable notifications,DANOT,N
Edit alerts,EDALT,N
Edit notofications,EDNOT,N
import alerts,IMALT,N
import notifications,IMNOT,N
View alerts,VIALT,Y
View notifications,VINOT,Y
Change password self,CHPWS,y
Change password others,CHPWO,n
Search by keyword,SEBKW,Y
Access getting started wizard,ACGSW,N
Access FAQ,ACFAQ,Y
Configuration button,CNBUT,N
Create License,CRLIC,N
Create party,CRPTY,N
Delete License,DELIC,N
Edit License,EDLIC,N
List view License,LVLIC,N
List view party,LVPTY,N
View License,VILIC,N
Business setup Menu,BSPMN,N
Business setup Sub menu,BSPSM,N
Add zone/ sub zone,AZSBZ,N
Edit zone/ sub zone,EZSBZ,N
delete zone/ sub zone,DZSBZ,N
Configure site settings,CFESS,N
edit site settings,EDSST,N
Delete site settings ,DESST,N
View site settings,VISST,N
Add contract,ADCON,N
edit contract,EDCON,N
delete contract ,DECON,N
View contract,VICON,N
Add Scope,ADSCO,N
Edit scope,EDSCO,N
Delete scope,DESCO,N
View Scope,VISCO,N
Add manpower plan,ADMPP,N
Edit manpower plan,EDMPP,N
View manpower plan,VIMPP,N
Create Equipment ,CREQU,N
Create Location,CRLOC,N
Create parentNchild relationship,CRPCR,N
Delete Equipment,DEEQU,N
Delete Location,DELOC,N
Delete parentNchild relationship,DEPCR,N
Edit Equipment,EDEQU,N
Edit Location,EDLOC,N
Edit parentNchild relationship,EDPCR,N
Import Equipment,IMEQU,N
Import location,IMLOC,N
Import parentNchild relationship,IMPCR,N
List view Equipment,LVEQU,N
List view of location,LVLOC,N
View Equipment,VIEQU,N
View location,VILOC,N
View parentNchild relationship,VIPCR,N
Maintenance setup Menu,MSMNU,N
Maintenance setup Submenu,MSSMN,N
Create check,CRCHK,N
Create Check list,CRCHL,N
Create LOTO,CRLOT,N
Create task,CRTSK,N
Create Tasks list,CRTSL,N
Create WO Schedule,CRWOS,N
create Work order template,CRWOT,N
Create work permit,CRWPR,N
Delete check,DECHK,N
Delete Check list,DECHL,N
Delete LOTO,DELOT,N
Delete task,DETAS,N
Delete Tasks list,DETSL,N
Delete WO Schedule,DEWOS,N
Delete work order,DEWOR,N
Delete work order template,DEWOT,N
Delete work permit,DEWPR,N
Edit check,EDCHK,N
Edit Check list,EDCHL,N
Edit LOTO,EDLOT,N
Edit task,EDTSK,N
Edit Tasks list,EDTSL,N
Edit WO Schedule,EDWOS,N
Edit work order,EDWOR,N
Edit work order template,EDWOT,N
Edit work permit ,EDWPR,N
Import Check list,IMCKL,N
Import LOTO,IMLOT,N
Import Task list,IMTSL,N
Import WO Schedule,IMWOS,N
Import work permit,IMWPR,N
List view Check list,LVCKL,N
List view LOTO,LVILT,N
List view tasks list,LVTSL,N
