Acknowledge alerts,ACALT,Y
Acknowledge notifications,ACNOT,Y
Create alerts,CRALT,Y
Create notifications,CRNOT,N
Delete alerts,DEALT,Y
Delete notifications,DENOT,N
Disable alerts,DAALT,N
Disable notifications,DANOT,N
Edit alerts,EDALT,N
Edit notofications,EDNOT,N
import alerts,IMALT,Y
import notifications,IMNOT,Y
View alerts,VIALT,Y
View notifications,VINOT,Y
Change password self,CHPWS,Y
Change password others,CHPWO,n
Search by keyword,SEBKW,Y
Access getting started wizard,ACGSW,Y
Access FAQ,ACFAQ,Y
Configuration button,CNBUT,Y
Create License,CRLIC,N
Create party,CRPTY,N
Delete License,DELIC,N
Edit License,EDLIC,N
List view License,LVLIC,N
List view party,LVPTY,N
View License,VILIC,N
Business setup Menu,BSPMN,Y
Business setup Sub menu,BSPSM,Y
Add zone/ sub zone,AZSBZ,N
Edit zone/ sub zone,EZSBZ,N
delete zone/ sub zone,DZSBZ,N
Configure site settings,CFESS,N
edit site settings,EDSST,N
Delete site settings ,DESST,N
View site settings,VISST,Y
Add contract,ADCON,N
edit contract,EDCON,N
delete contract ,DECON,N
View contract,VICON,Y
Add Scope,ADSCO,N
Edit scope,EDSCO,N
Delete scope,DESCO,N
View Scope,VISCO,Y
Add manpower plan,ADMPP,Y
Edit manpower plan,EDMPP,Y
View manpower plan,VIMPP,Y
Create Equipment ,CREQU,N
Create Location,CRLOC,N
Create parentNchild relationship,CRPCR,N
Delete Equipment,DEEQU,N
Delete Location,DELOC,N
Delete parentNchild relationship,DEPCR,N
Edit Equipment,EDEQU,N
Edit Location,EDLOC,N
Edit parentNchild relationship,EDPCR,N
Import Equipment,IMEQU,N
Import location,IMLOC,N
Import parentNchild relationship,IMPCR,N
List view Equipment,LVEQU,Y
List view of location,LVLOC,Y
View Equipment,VIEQU,Y
View location,VILOC,Y
View parentNchild relationship,VIPCR,Y
Maintenance setup Menu,MSMNU,Y
Maintenance setup Submenu,MSSMN,Y
Create check,CRCHK,N
Create Check list,CRCHL,Y
Create LOTO,CRLOT,N
Create task,CRTSK,N
Create Tasks list,CRTSL,Y
Create WO Schedule,CRWOS,Y
create Work order template,CRWOT,N
Create work permit,CRWPR,Y
Delete check,DECHK,N
Delete Check list,DECHL,N
Delete LOTO,DELOT,N
Delete task,DETAS,N
Delete Tasks list,DETSL,N
Delete WO Schedule,DEWOS,N
Delete work order,DEWOR,N
Delete work order template,DEWOT,N
Delete work permit,DEWPR,N
Edit check,EDCHK,N
Edit Check list,EDCHL,Y
Edit LOTO,EDLOT,Y
Edit task,EDTSK,N
Edit Tasks list,EDTSL,Y
Edit WO Schedule,EDWOS,Y
Edit work order,EDWOR,Y
Edit work order template,EDWOT,N
Edit work permit ,EDWPR,Y
Import Check list,IMCKL,Y
Import LOTO,IMLOT,Y
Import Task list,IMTSL,Y
Import WO Schedule,IMWOS,Y
Import work permit,IMWPR,Y
List view Check list,LVCKL,Y
List view LOTO,LVILT,Y
List view tasks list,LVTSL,Y
List view WO Schedule,LVWOS,Y
List view work order template,LVWOT,Y
View check,VICHK,Y
View Check list,VICHL,Y
View list of checks,VLCHK,Y
View list of tasks,VLTAS,Y
View LOTO,VILOT,Y
View task,VITAS,Y
View Tasks list,VITSL,Y
View WO Schedule,VIWOS,Y
View work order template,VIWOT,Y
View work permit,VIWOP,Y
People Menu,PPLMN,Y
People Sub menu,PPLSM,Y
Create employee,CREMP,N
Create org unit,CRORU,N
Create shift,CRSHF,N
Create User group,CRURG,N
Create Users,CRURS,N
Create Users profile,CRURP,N
Create Users roster,CRURR,N
Delete employee,DEEMP,N
Delete org unit,DEORU,N
Delete shift,DESHF,N
Delete User group,DEURG,N
Delete Users,DEURS,N
Delete Users profile,DEURP,N
Delete Users roster,DEURR,N
Edit employee,EDEMP,N
Edit org unit,EDORU,N
Edit shift,EDSHF,N
Edit User group,EDURG,N
Edit Users,EDURS,N
Edit Users profile,EDURP,N
Edit Users roster,EDURR,Y
List view of shifts,LVSHF,Y
List View User group,LVURG,Y
List View Users,LVURS,Y
List View Users profile,LVURP,Y
List View Users roster,LVURR,Y
View employee,VIEMP,Y
View list of employees,VLEMP,Y
View list of org units,VLORG,Y
View org unit,VIORU,Y
View shift,VISHF,Y
View User group,VIURG,Y
