Old UoM,New UoM 
kwh ,Kwh
kvah,Kvah
kwh ,Kwh
kvah,Kvah
kwh ,Kwh
kvah,Kvah
pf,PF
kwh ,Kwh
kvah,Kvah
pf,PF
litres,L
litres,L
hours,Hr
hours,Hr
litres,L
litres,L
litres,L
hours,Hr
hours,Hr
litres,L
litres,L
kwh ,Kwh
kvah,Kvah
pf,PF
kwh ,Kwh
kvah,Kvah
pf,PF
ampere,A
volts,V
ampere,A
volts,V
ampere,A
volt,V
volts,V
ampere,A
volts,V
ampere,A
volts,V
ampere,A
volt,V
volts,V
ampere,A
ampere,A
hours,Hr
ampere,A
ampere,A
volts,V
volts,V
volts,V
ampere,A
volts,V
ampere,A
volts,V
ampere,A
volt,V
volts,V
ampere,A
ampere,A
hours,Hr
ampere,A
volts,V
ampere,A
volts,V
ampere,A
volt,V
volts,V
ampere,A
ampere,A
hours,Hr
ampere,A
volts,V
ampere,A
volts,V
ampere,A
volt,V
volts,V
ampere,A
ampere,A
hours,Hr
kwh ,Kwh
kvah,Kvah
pf,PF
kwh ,Kwh
kvah,Kvah
pf,PF
kwh ,Kwh
kvah,Kvah
kwh ,Kwh
kvah,Kvah
pf,PF
kwh ,Kwh
kvah,Kvah
pf,PF
kwh ,Kwh
kvah,Kvah
kwh ,Kwh
kvah,Kvah
pf,PF
ampere,A
volts,V
ampere,A
volts,V
ampere,A
volt,V
volts,V
ampere,A
ampere,A
hours,Hr
ampere,A
ampere,A
volts,V
volts,V
volts,V
ampere,A
volts,V
ampere,A
volts,V
ampere,A
volt,V
volts,V
ampere,A
ampere,A
hours,Hr
ampere,A
ampere,A
volts,V
volts,V
volts,V
ampere,A
volts,V
ampere,A
volts,V
ampere,A
volt,V
volts,V
ampere,A
ampere,A
hours,Hr
ampere,A
ampere,A
volts,V
volts,V
volts,V
litres,L
litres,L
hours,Hr
hours,Hr
litres,L
litres,L
litres,L
hours,Hr
hours,Hr
litres,L
litres,L
pf,PF
kwh ,Kwh
kvah,Kvah
kwh ,Kwh
kvah,Kvah
pf,PF
kwh ,Kwh
kvah,Kvah
pf,PF
kwh ,Kwh
kwh ,Kwh
kwh ,Kwh
kvah,Kvah
pf,PF
kvah,Kvah
kvah,Kvah
kwh ,Kwh
litres,L
litres,L
hours,Hr
litres,L
litres,L
hours,Hr
