,,,,,Old UoM,,,,,,,New UoM ,
1,1,221,E,04-05-2023 09:00,volts,410,410,32971,04-05-2023 03:41,04-05-2023 03:41,E,V,Voltage
2,1,221,E,04-05-2023 09:00,volts,398,808,32971,04-05-2023 03:41,04-05-2023 03:41,E,V,Voltage
3,1,221,E,04-05-2023 09:00,volts,411,821,32971,04-05-2023 03:41,04-05-2023 03:41,E,V,Voltage
4,1,221,E,04-05-2023 09:00,volts,398,808,32971,04-05-2023 03:41,04-05-2023 03:41,E,V,Voltage
5,1,221,E,04-05-2023 09:00,volts,399,809,32971,04-05-2023 03:41,04-05-2023 03:41,E,V,Voltage
6,1,221,E,04-05-2023 09:00,volts,410,820,32971,04-05-2023 03:41,04-05-2023 03:41,E,V,Voltage
7,1,221,E,04-05-2023 09:00,amps,2.4,412.4,32971,04-05-2023 03:41,04-05-2023 03:41,E,A,Ampere
8,1,221,E,04-05-2023 09:00,amps,0,410,32971,04-05-2023 03:41,04-05-2023 03:41,E,A,Ampere
9,1,221,E,04-05-2023 09:00,amps,0,410,32971,04-05-2023 03:41,04-05-2023 03:41,E,A,Ampere
10,1,221,E,04-05-2023 09:00,%,14,424,32971,04-05-2023 03:41,04-05-2023 03:41,E,%,Percentage
11,1,220,E,04-05-2023 09:00,volts,409,409,32970,04-05-2023 03:43,04-05-2023 03:43,E,V,Voltage
12,1,220,E,04-05-2023 09:00,volts,413,822,32970,04-05-2023 03:43,04-05-2023 03:43,E,V,Voltage
13,1,220,E,04-05-2023 09:00,volts,419,828,32970,04-05-2023 03:43,04-05-2023 03:43,E,V,Voltage
14,1,220,E,04-05-2023 09:00,volts,398,807,32970,04-05-2023 03:43,04-05-2023 03:43,E,V,Voltage
15,1,220,E,04-05-2023 09:00,volts,408,817,32970,04-05-2023 03:43,04-05-2023 03:43,E,V,Voltage
16,1,220,E,04-05-2023 09:00,volts,399,808,32970,04-05-2023 03:43,04-05-2023 03:43,E,V,Voltage
17,1,220,E,04-05-2023 09:00,amps,5.5,414.5,32970,04-05-2023 03:43,04-05-2023 03:43,E,A,Ampere
18,1,220,E,04-05-2023 09:00,amps,7.8,416.8,32970,04-05-2023 03:43,04-05-2023 03:43,E,A,Ampere
19,1,220,E,04-05-2023 09:00,amps,6.7,415.7,32970,04-05-2023 03:43,04-05-2023 03:43,E,A,Ampere
20,1,220,E,04-05-2023 09:00,%,17,426,32970,04-05-2023 03:43,04-05-2023 03:43,E,%,Percentage
21,1,219,E,04-05-2023 09:00,volts,415,415,32972,04-05-2023 03:46,04-05-2023 03:46,E,V,Voltage
22,1,219,E,04-05-2023 09:00,volts,417,832,32972,04-05-2023 03:46,04-05-2023 03:46,E,V,Voltage
23,1,219,E,04-05-2023 09:00,volts,421,836,32972,04-05-2023 03:46,04-05-2023 03:46,E,V,Voltage
24,1,219,E,04-05-2023 09:00,volts,398,813,32972,04-05-2023 03:46,04-05-2023 03:46,E,V,Voltage
25,1,219,E,04-05-2023 09:00,volts,398,813,32972,04-05-2023 03:46,04-05-2023 03:46,E,V,Voltage
26,1,219,E,04-05-2023 09:00,volts,399,814,32972,04-05-2023 03:46,04-05-2023 03:46,E,V,Voltage
27,1,219,E,04-05-2023 09:00,amps,17.6,432.6,32972,04-05-2023 03:46,04-05-2023 03:46,E,A,Ampere
28,1,219,E,04-05-2023 09:00,amps,28.6,443.6,32972,04-05-2023 03:46,04-05-2023 03:46,E,A,Ampere
29,1,219,E,04-05-2023 09:00,amps,23.4,438.4,32972,04-05-2023 03:46,04-05-2023 03:46,E,A,Ampere
30,1,219,E,04-05-2023 09:00,%,17,432,32972,04-05-2023 03:46,04-05-2023 03:46,E,%,Percentage
31,1,175,E,04-05-2023 08:00,amps,18,18,32956,04-05-2023 03:51,04-05-2023 03:51,E,A,Ampere
32,1,175,E,04-05-2023 08:00,amps,15,33,32956,04-05-2023 03:51,04-05-2023 03:51,E,A,Ampere
33,1,175,E,04-05-2023 08:00,amps,18,36,32956,04-05-2023 03:51,04-05-2023 03:51,E,A,Ampere
34,1,175,E,04-05-2023 08:00,volts,414,432,32956,04-05-2023 03:51,04-05-2023 03:51,E,V,Voltage
35,1,175,E,04-05-2023 08:00,volts,416,434,32956,04-05-2023 03:51,04-05-2023 03:51,E,V,Voltage
36,1,175,E,04-05-2023 08:00,volts,420,438,32956,04-05-2023 03:51,04-05-2023 03:51,E,V,Voltage
37,1,175,E,04-05-2023 08:00,watts,120,138,32956,04-05-2023 03:51,04-05-2023 03:51,E,Kw,Power
38,1,175,E,04-05-2023 08:00,pf,0.99,18.99,32956,04-05-2023 03:51,04-05-2023 03:51,E,PF,Power Factor
39,1,175,E,04-05-2023 08:00,deg celcius,28,46,32956,04-05-2023 03:51,04-05-2023 03:51,E,°C,deg Celsius
40,1,175,E,04-05-2023 08:00,deg celcius,32,50,32956,04-05-2023 03:51,04-05-2023 03:51,E,°C,deg Celsius
41,1,175,E,04-05-2023 08:00,amps,5.2,23.2,32956,04-05-2023 03:51,04-05-2023 03:51,E,A,Ampere
42,1,175,E,04-05-2023 08:00,volts,11.2,29.2,32956,04-05-2023 03:51,04-05-2023 03:51,E,V,Voltage
43,1,175,E,04-05-2023 08:00,no's,1,19,32956,04-05-2023 03:51,04-05-2023 03:51,E,Kwh,KWH
44,1,175,E,05-05-2023 08:00,amps,189,207,33097,05-05-2023 03:02,05-05-2023 03:02,E,A,Ampere
45,1,175,E,05-05-2023 08:00,amps,174,381,33097,05-05-2023 03:02,05-05-2023 03:02,E,A,Ampere
46,1,175,E,05-05-2023 08:00,amps,192,399,33097,05-05-2023 03:02,05-05-2023 03:02,E,A,Ampere
47,1,175,E,05-05-2023 08:00,volts,416,623,33097,05-05-2023 03:02,05-05-2023 03:02,E,V,Voltage
48,1,175,E,05-05-2023 08:00,volts,418,625,33097,05-05-2023 03:02,05-05-2023 03:02,E,V,Voltage
49,1,175,E,05-05-2023 08:00,volts,422,629,33097,05-05-2023 03:02,05-05-2023 03:02,E,V,Voltage
50,1,175,E,05-05-2023 08:00,watts,138,345,33097,05-05-2023 03:02,05-05-2023 03:02,E,Kw,Power
51,1,175,E,05-05-2023 08:00,pf,0.99,207.99,33097,05-05-2023 03:02,05-05-2023 03:02,E,PF,Power Factor
52,1,175,E,05-05-2023 08:00,deg celcius,30,237,33097,05-05-2023 03:02,05-05-2023 03:02,E,°C,deg Celsius
53,1,175,E,05-05-2023 08:00,deg celcius,34,241,33097,05-05-2023 03:02,05-05-2023 03:02,E,°C,deg Celsius
54,1,175,E,05-05-2023 08:00,amps,6.6,213.6,33097,05-05-2023 03:02,05-05-2023 03:02,E,A,Ampere
55,1,175,E,05-05-2023 08:00,volts,11,218,33097,05-05-2023 03:02,05-05-2023 03:02,E,V,Voltage
56,1,175,E,05-05-2023 08:00,no's,2,209,33097,05-05-2023 03:02,05-05-2023 03:02,E,Kwh,KWH
57,1,219,E,05-05-2023 09:00,volts,410,825,33114,05-05-2023 03:37,05-05-2023 03:37,E,V,Voltage
58,1,219,E,05-05-2023 09:00,volts,414,1239,33114,05-05-2023 03:37,05-05-2023 03:37,E,V,Voltage
59,1,219,E,05-05-2023 09:00,volts,417,1242,33114,05-05-2023 03:37,05-05-2023 03:37,E,V,Voltage
60,1,219,E,05-05-2023 09:00,volts,231,1056,33114,05-05-2023 03:37,05-05-2023 03:37,E,V,Voltage
61,1,219,E,05-05-2023 09:00,volts,231,1056,33114,05-05-2023 03:37,05-05-2023 03:37,E,V,Voltage
62,1,219,E,05-05-2023 09:00,volts,231,1056,33114,05-05-2023 03:37,05-05-2023 03:37,E,V,Voltage
63,1,219,E,05-05-2023 09:00,amps,18.2,843.2,33114,05-05-2023 03:37,05-05-2023 03:37,E,A,Ampere
64,1,219,E,05-05-2023 09:00,amps,19.9,844.9,33114,05-05-2023 03:37,05-05-2023 03:37,E,A,Ampere
65,1,219,E,05-05-2023 09:00,amps,20.1,845.1,33114,05-05-2023 03:37,05-05-2023 03:37,E,A,Ampere
66,1,219,E,05-05-2023 09:00,%,17,842,33114,05-05-2023 03:37,05-05-2023 03:37,E,%,Percentage
67,1,176,E,05-05-2023 08:00,hrs,0,0,33104,05-05-2023 03:39,05-05-2023 03:39,E,Hr,Hour
68,1,176,E,05-05-2023 08:00,volts440,408,408,33104,05-05-2023 03:39,05-05-2023 03:39,E,V,Voltage
69,1,176,E,05-05-2023 08:00,volts,407,407,33104,05-05-2023 03:39,05-05-2023 03:39,E,V,Voltage
70,1,176,E,05-05-2023 08:00,volts,407,407,33104,05-05-2023 03:39,05-05-2023 03:39,E,V,Voltage
71,1,220,E,05-05-2023 09:00,volts,411,820,33112,05-05-2023 03:39,05-05-2023 03:39,E,V,Voltage
72,1,220,E,05-05-2023 09:00,volts,414,1234,33112,05-05-2023 03:39,05-05-2023 03:39,E,V,Voltage
73,1,220,E,05-05-2023 09:00,volts,417,1237,33112,05-05-2023 03:39,05-05-2023 03:39,E,V,Voltage
74,1,220,E,05-05-2023 09:00,volts,231,1051,33112,05-05-2023 03:39,05-05-2023 03:39,E,V,Voltage
75,1,220,E,05-05-2023 09:00,volts,231,1051,33112,05-05-2023 03:39,05-05-2023 03:39,E,V,Voltage
76,1,220,E,05-05-2023 09:00,volts,231,1051,33112,05-05-2023 03:39,05-05-2023 03:39,E,V,Voltage
77,1,220,E,05-05-2023 09:00,amps,10.1,830.1,33112,05-05-2023 03:39,05-05-2023 03:39,E,A,Ampere
78,1,220,E,05-05-2023 09:00,amps,12.4,832.4,33112,05-05-2023 03:39,05-05-2023 03:39,E,A,Ampere
79,1,220,E,05-05-2023 09:00,amps,14.1,834.1,33112,05-05-2023 03:39,05-05-2023 03:39,E,A,Ampere
80,1,220,E,05-05-2023 09:00,%,15,835,33112,05-05-2023 03:39,05-05-2023 03:39,E,%,Percentage
81,1,221,E,05-05-2023 09:00,volts,412,822,33113,05-05-2023 03:41,05-05-2023 03:41,E,V,Voltage
82,1,221,E,05-05-2023 09:00,volts,415,1237,33113,05-05-2023 03:41,05-05-2023 03:41,E,V,Voltage
83,1,221,E,05-05-2023 09:00,volts,417,1239,33113,05-05-2023 03:41,05-05-2023 03:41,E,V,Voltage
84,1,221,E,05-05-2023 09:00,volts,229,1051,33113,05-05-2023 03:41,05-05-2023 03:41,E,V,Voltage
85,1,221,E,05-05-2023 09:00,volts,230,1052,33113,05-05-2023 03:41,05-05-2023 03:41,E,V,Voltage
86,1,221,E,05-05-2023 09:00,volts,231,1053,33113,05-05-2023 03:41,05-05-2023 03:41,E,V,Voltage
87,1,221,E,05-05-2023 09:00,amps,2.4,824.4,33113,05-05-2023 03:41,05-05-2023 03:41,E,A,Ampere
88,1,221,E,05-05-2023 09:00,amps,0,822,33113,05-05-2023 03:41,05-05-2023 03:41,E,A,Ampere
89,1,221,E,05-05-2023 09:00,amps,0,822,33113,05-05-2023 03:41,05-05-2023 03:41,E,A,Ampere
90,1,221,E,05-05-2023 09:00,%,14,836,33113,05-05-2023 03:41,05-05-2023 03:41,E,%,Percentage
91,1,175,E,06-05-2023 08:00,amps,145,352,33237,06-05-2023 02:42,06-05-2023 02:42,E,A,Ampere
92,1,175,E,06-05-2023 08:00,amps,117,469,33237,06-05-2023 02:42,06-05-2023 02:42,E,A,Ampere
93,1,175,E,06-05-2023 08:00,amps,142,494,33237,06-05-2023 02:42,06-05-2023 02:42,E,A,Ampere
94,1,175,E,06-05-2023 08:00,volts,419,771,33237,06-05-2023 02:42,06-05-2023 02:42,E,V,Voltage
95,1,175,E,06-05-2023 08:00,volts,420,772,33237,06-05-2023 02:42,06-05-2023 02:42,E,V,Voltage
96,1,175,E,06-05-2023 08:00,volts,423,775,33237,06-05-2023 02:42,06-05-2023 02:42,E,V,Voltage
97,1,175,E,06-05-2023 08:00,watts,97,449,33237,06-05-2023 02:42,06-05-2023 02:42,E,Kw,Power
98,1,175,E,06-05-2023 08:00,pf,0.99,352.99,33237,06-05-2023 02:42,06-05-2023 02:42,E,PF,Power Factor
99,1,175,E,06-05-2023 08:00,deg celcius,26,378,33237,06-05-2023 02:42,06-05-2023 02:42,E,°C,deg Celsius
100,1,175,E,06-05-2023 08:00,deg celcius,32,384,33237,06-05-2023 02:42,06-05-2023 02:42,E,°C,deg Celsius
101,1,175,E,06-05-2023 08:00,amps,4.7,356.7,33237,06-05-2023 02:42,06-05-2023 02:42,E,A,Ampere
102,1,175,E,06-05-2023 08:00,volts,10.8,362.8,33237,06-05-2023 02:42,06-05-2023 02:42,E,V,Voltage
103,1,175,E,06-05-2023 08:00,no's,1,353,33237,06-05-2023 02:42,06-05-2023 02:42,E,Kwh,KWH
104,1,176,E,06-05-2023 08:00,hrs,7.15,7.15,33247,06-05-2023 02:47,06-05-2023 02:47,E,Hr,Hour
105,1,176,E,06-05-2023 08:00,volts440,420,427.15,33247,06-05-2023 02:47,06-05-2023 02:47,E,V,Voltage
106,1,176,E,06-05-2023 08:00,volts,420,427.15,33247,06-05-2023 02:47,06-05-2023 02:47,E,V,Voltage
107,1,176,E,06-05-2023 08:00,volts,420,427.15,33247,06-05-2023 02:47,06-05-2023 02:47,E,V,Voltage
108,1,219,E,06-05-2023 09:00,volts,407,1232,33253,06-05-2023 03:51,06-05-2023 03:51,E,V,Voltage
109,1,219,E,06-05-2023 09:00,volts,408,1640,33253,06-05-2023 03:51,06-05-2023 03:51,E,V,Voltage
110,1,219,E,06-05-2023 09:00,volts,410,1642,33253,06-05-2023 03:51,06-05-2023 03:51,E,V,Voltage
111,1,219,E,06-05-2023 09:00,volts,230,1462,33253,06-05-2023 03:51,06-05-2023 03:51,E,V,Voltage
112,1,219,E,06-05-2023 09:00,volts,229,1461,33253,06-05-2023 03:51,06-05-2023 03:51,E,V,Voltage
113,1,219,E,06-05-2023 09:00,volts,230,1462,33253,06-05-2023 03:51,06-05-2023 03:51,E,V,Voltage
114,1,219,E,06-05-2023 09:00,amps,18.6,1250.6,33253,06-05-2023 03:51,06-05-2023 03:51,E,A,Ampere
115,1,219,E,06-05-2023 09:00,amps,18,1250,33253,06-05-2023 03:51,06-05-2023 03:51,E,A,Ampere
116,1,219,E,06-05-2023 09:00,amps,17.5,1249.5,33253,06-05-2023 03:51,06-05-2023 03:51,E,A,Ampere
117,1,219,E,06-05-2023 09:00,%,14,1246,33253,06-05-2023 03:51,06-05-2023 03:51,E,%,Percentage
118,1,220,E,06-05-2023 09:00,volts,409,1229,33254,06-05-2023 03:53,06-05-2023 03:53,E,V,Voltage
119,1,220,E,06-05-2023 09:00,volts,410,1639,33254,06-05-2023 03:53,06-05-2023 03:53,E,V,Voltage
120,1,220,E,06-05-2023 09:00,volts,413,1642,33254,06-05-2023 03:53,06-05-2023 03:53,E,V,Voltage
