Old UoM,New UoM 
deg celcius,PF
kpa,bar
amps,A
v,V
kwh,Kwh
pf,PF
amp,A
amp,A
amps,A
v,V
volts,V
hrs,Hr
hrs,Hr
rpm,rpm
deg celcius,C
hz,Hz
volts,V
hrs,Hr
amps,A
degree,C
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
v,V
v,V
volts,V
volt,V
nos,No
hz,Hz
volts,V
pf,PF
amps,A
nos,No
v,V
v,V
amps,A
deg celcius,C
amps,A
volt,V
degree,C
amps,A
v,V
nos,No
v,V
degree,C
hz,Hz
volt,V
amps,A
volts,V
amps,A
deg celcius,C
pf,PF
pf,PF
hz,Hz
amps,A
amps,A
amps,A
v,V
v,V
degree,C
volts,V
volt,V
nos,No
deg celcius,C
pf,PF
amps,A
volts,V
hz,Hz
amps,A
degree,C
amps,A
nos,No
v,V
v,V
volt,V
amps,A
deg celcius,C
degree,C
nos,No
deg celcius,C
v,V
degree,C
deg celcius,C
pf,PF
amps,A
hz,Hz
amps,A
amps,A
v,V
volts,V
volt,V
pf,PF
amps,A
amps,A
v,V
v,V
volts,V
volt,V
nos,No
hz,Hz
deg celcius,C
kpa,bar
amps,A
v,V
kwh,Kwh
hz,Hz
amp,A
amp,A
amps,A
v,V
volts,V
volts,V
hrs,Hr
hrs,Hr
hrs,Hr
pf,PF
rpm,rpm
deg celcius,C
rpm,rpm
deg celcius,C
kpa,bar
deg celcius,C
amps,A
v,V
kwh,Kwh
pf,PF
hz,Hz
amp,A
amp,A
amps,A
v,V
volts,V
volts,V
hrs,Hr
hrs,Hr
hrs,Hr
nos,No
degree,C
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
amps,A
v,V
v,V
volts,V
volt,V
degree,C
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
amps,A
v,V
v,V
volts,V
volt,V
nos,No
volts,V
nos,No
amps,A
amps,A
hz,Hz
amps,A
v,V
v,V
volt,V
pf,PF
deg celcius,C
degree,C
amps,A
hz,Hz
amps,A
v,V
v,V
nos,No
volts,V
volt,V
degree,C
pf,PF
deg celcius,C
amps,A
volt,V
volts,V
hz,Hz
amps,A
nos,No
v,V
deg celcius,C
degree,C
pf,PF
amps,A
v,V
amps,A
v,V
amps,A
deg celcius,C
volts,V
nos,No
amps,A
v,V
volt,V
degree,C
amps,A
hz,Hz
pf,PF
volts,V
pf,PF
amps,A
volt,V
deg celcius,C
hz,Hz
amps,A
degree,C
amps,A
v,V
nos,No
v,V
volts,V
v,V
hz,Hz
pf,PF
amps,A
amps,A
degree,C
v,V
deg celcius,C
amps,A
volt,V
nos,No
hz,Hz
v,V
amps,A
volt,V
pf,PF
nos,No
deg celcius,C
amps,A
v,V
degree,C
volts,V
amps,A
volts,V
volt,V
amps,A
nos,No
deg celcius,C
amps,A
v,V
hz,Hz
pf,PF
amps,A
v,V
degree,C
amps,A
nos,No
volts,V
v,V
amps,A
amps,A
volt,V
hz,Hz
pf,PF
v,V
degree,C
deg celcius,C
amps,A
amps,A
pf,PF
amps,A
volt,V
deg celcius,C
hz,Hz
degree,C
v,V
v,V
volts,V
nos,No
degree,C
deg celcius,C
pf,PF
hz,Hz
volt,V
nos,No
amps,A
amps,A
amps,A
v,V
v,V
volts,V
degree,C
deg celcius,C
hz,Hz
amps,A
amps,A
v,V
v,V
volts,V
volt,V
amps,A
nos,No
pf,PF
pf,PF
hz,Hz
amps,A
volt,V
v,V
degree,C
v,V
volts,V
amps,A
amps,A
deg celcius,C
nos,No
degree,C
pf,PF
v,V
amps,A
amps,A
volt,V
deg celcius,C
hz,Hz
volts,V
v,V
nos,No
amps,A
amps,A
volts,V
degree,C
pf,PF
hz,Hz
deg celcius,C
v,V
nos,No
amps,A
v,V
volt,V
amps,A
degree,C
v,V
amps,A
deg celcius,C
volt,V
amps,A
hz,Hz
nos,No
pf,PF
v,V
amps,A
volts,V
volts,V
amp,A
rpm,rpm
hrs,Hr
v,V
amp,A
hrs,Hr
hrs,Hr
kpa,bar
volts,V
deg celcius,C
amp,A
v,V
kpa,bar
deg celcius,C
amp,A
volts,V
v,V
deg celcius,C
kwh,Kwh
amps,A
deg celcius,C
pf,PF
hz,Hz
amps,A
v,V
hrs,Hr
hrs,Hr
amps,A
amps,A
kwh,Kwh
pf,PF
hz,Hz
rpm,rpm
volts,V
hrs,Hr
degree,C
amps,A
volt,V
pf,PF
v,V
nos,No
amps,A
deg celcius,C
hz,Hz
amps,A
v,V
volts,V
degree,C
v,V
amps,A
amps,A
pf,PF
volts,V
hz,Hz
nos,No
deg celcius,C
volt,V
amps,A
v,V
v,V
amps,A
amps,A
amps,A
v,V
volts,V
volt,V
nos,No
degree,C
deg celcius,C
pf,PF
hz,Hz
volt,V
nos,No
degree,C
amps,A
amps,A
amps,A
v,V
v,V
volts,V
deg celcius,C
pf,PF
hz,Hz
degree,C
hz,Hz
amps,A
amps,A
volts,V
v,V
volt,V
amps,A
deg celcius,C
v,V
pf,PF
nos,No
volts,V
amps,A
hz,Hz
pf,PF
amps,A
amps,A
v,V
nos,No
v,V
degree,C
deg celcius,C
volt,V
v,V
pf,PF
rpm,rpm
volts,V
volts,V
amp,A
hrs,Hr
hrs,Hr
hrs,Hr
kwh,Kwh
kpa,bar
hz,Hz
amps,A
amps,A
v,V
amp,A
deg celcius,C
deg celcius,C
hz,Hz
amps,A
volt,V
degree,C
amps,A
amps,A
volts,V
v,V
deg celcius,C
pf,PF
v,V
nos,No
amps,A
amps,A
deg celcius,C
volt,V
pf,PF
v,V
hz,Hz
v,V
volts,V
nos,No
degree,C
amps,A
kpa,bar
hz,Hz
volts,V
v,V
kwh,Kwh
hrs,Hr
amp,A
volts,V
hrs,Hr
deg celcius,C
amps,A
amp,A
rpm,rpm
amps,A
deg celcius,C
v,V
deg celcius,C
pf,PF
hrs,Hr
hz,Hz
volt,V
pf,PF
degree,C
nos,No
v,V
v,V
volts,V
deg celcius,C
amps,A
amps,A
amps,A
hz,Hz
volts,V
nos,No
amps,A
pf,PF
amps,A
degree,C
volt,V
amps,A
v,V
v,V
degree,C
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
amps,A
v,V
v,V
volts,V
volt,V
nos,No
deg celcius,C
pf,PF
amps,A
amps,A
amps,A
v,V
volts,V
volt,V
nos,No
degree,C
hz,Hz
v,V
hz,Hz
nos,No
volts,V
amps,A
v,V
deg celcius,C
v,V
degree,C
pf,PF
amps,A
amps,A
volt,V
pf,PF
volt,V
amps,A
degree,C
v,V
volts,V
deg celcius,C
hz,Hz
nos,No
v,V
amps,A
amps,A
v,V
amps,A
volt,V
pf,PF
amps,A
deg celcius,C
hz,Hz
v,V
volts,V
nos,No
degree,C
amps,A
degree,C
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
amps,A
v,V
v,V
volts,V
hz,Hz
volt,V
nos,No
degree,C
deg celcius,C
pf,PF
amps,A
amps,A
amps,A
v,V
v,V
volts,V
volt,V
nos,No
amps,A
pf,PF
amps,A
v,V
volts,V
volt,V
hz,Hz
degree,C
deg celcius,C
nos,No
amps,A
v,V
degree,C
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
amps,A
v,V
v,V
volts,V
volt,V
nos,No
v,V
volts,V
volt,V
nos,No
amps,A
v,V
degree,C
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
v,V
hz,Hz
amps,A
volt,V
amps,A
v,V
volts,V
nos,No
degree,C
deg celcius,C
amps,A
pf,PF
volt,V
volts,V
nos,No
deg celcius,C
hz,Hz
amps,A
amps,A
amps,A
v,V
v,V
degree,C
pf,PF
pf,PF
hz,Hz
amps,A
v,V
degree,C
volts,V
nos,No
deg celcius,C
amps,A
volt,V
v,V
amps,A
v,V
degree,C
volts,V
amps,A
deg celcius,C
volt,V
amps,A
amps,A
pf,PF
nos,No
v,V
hz,Hz
deg celcius,C
pf,PF
amps,A
amps,A
amps,A
v,V
volts,V
volt,V
nos,No
hz,Hz
v,V
degree,C
degree,C
v,V
hz,Hz
deg celcius,C
pf,PF
amps,A
amps,A
amps,A
v,V
volts,V
volt,V
nos,No
degree,C
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
amps,A
v,V
v,V
volts,V
volt,V
nos,No
degree,C
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
amps,A
v,V
v,V
volts,V
volt,V
nos,No
v,V
volts,V
amps,A
v,V
degree,C
nos,No
pf,PF
amps,A
hz,Hz
volt,V
amps,A
deg celcius,C
degree,C
amps,A
volt,V
volts,V
hz,Hz
pf,PF
v,V
v,V
amps,A
nos,No
deg celcius,C
amps,A
nos,No
degree,C
amps,A
pf,PF
v,V
volt,V
hz,Hz
deg celcius,C
volts,V
amps,A
v,V
volts,V
v,V
amps,A
amps,A
degree,C
volt,V
amps,A
hz,Hz
pf,PF
v,V
nos,No
deg celcius,C
amps,A
amps,A
amps,A
amps,A
v,V
v,V
volts,V
volt,V
nos,No
degree,C
deg celcius,C
pf,PF
hz,Hz
deg celcius,C
volt,V
hz,Hz
degree,C
v,V
v,V
volts,V
amps,A
pf,PF
amps,A
amps,A
nos,No
amps,A
deg celcius,C
degree,C
volt,V
volts,V
v,V
v,V
amps,A
hz,Hz
nos,No
pf,PF
amps,A
volts,V
amps,A
v,V
v,V
amps,A
nos,No
hz,Hz
volt,V
deg celcius,C
pf,PF
degree,C
amps,A
v,V
amps,A
degree,C
amps,A
amps,A
deg celcius,C
volt,V
volts,V
hz,Hz
v,V
nos,No
pf,PF
degree,C
deg celcius,C
pf,PF
hz,Hz
amps,A
v,V
amps,A
volt,V
v,V
volts,V
nos,No
amps,A
deg celcius,C
hz,Hz
degree,C
pf,PF
amps,A
v,V
amps,A
v,V
volt,V
volts,V
amps,A
nos,No
v,V
nos,No
v,V
amps,A
degree,C
amps,A
hz,Hz
pf,PF
deg celcius,C
amps,A
volts,V
volt,V
nos,No
amps,A
amps,A
v,V
hz,Hz
v,V
volts,V
volt,V
degree,C
deg celcius,C
pf,PF
amps,A
volt,V
amps,A
v,V
nos,No
volts,V
deg celcius,C
pf,PF
amps,A
degree,C
v,V
amps,A
hz,Hz
pf,PF
v,V
amps,A
volt,V
nos,No
amps,A
volts,V
deg celcius,C
hz,Hz
degree,C
amps,A
v,V
deg celcius,C
v,V
nos,No
volt,V
v,V
volts,V
amps,A
amps,A
hz,Hz
degree,C
amps,A
pf,PF
volts,V
nos,No
amps,A
pf,PF
amps,A
v,V
deg celcius,C
hz,Hz
amps,A
degree,C
volt,V
v,V
v,V
rpm,rpm
amp,A
pf,PF
hrs,Hr
hrs,Hr
amp,A
deg celcius,C
hz,Hz
v,V
amps,A
kwh,Kwh
amps,A
volts,V
volts,V
deg celcius,C
kpa,bar
hrs,Hr
hz,Hz
v,V
volt,V
deg celcius,C
pf,PF
volts,V
v,V
degree,C
nos,No
amps,A
amps,A
amps,A
deg celcius,C
pf,PF
amps,A
amps,A
amps,A
v,V
volts,V
volt,V
nos,No
degree,C
v,V
hz,Hz
deg celcius,C
volts,V
nos,No
amps,A
amps,A
volt,V
hz,Hz
v,V
v,V
degree,C
pf,PF
amps,A
nos,No
hz,Hz
volts,V
volt,V
amps,A
deg celcius,C
degree,C
amps,A
amps,A
pf,PF
v,V
v,V
pf,PF
hz,Hz
amps,A
amps,A
v,V
v,V
volts,V
nos,No
degree,C
volt,V
amps,A
deg celcius,C
v,V
volt,V
hz,Hz
degree,C
nos,No
amps,A
amps,A
amps,A
volts,V
v,V
deg celcius,C
pf,PF
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
amps,A
v,V
v,V
volts,V
volt,V
nos,No
degree,C
degree,C
deg celcius,C
pf,PF
hz,Hz
v,V
volts,V
volt,V
nos,No
amps,A
amps,A
amps,A
v,V
deg celcius,C
hz,Hz
nos,No
pf,PF
volts,V
volt,V
amps,A
v,V
degree,C
amps,A
amps,A
v,V
amps,A
deg celcius,C
v,V
hz,Hz
amps,A
amps,A
v,V
volts,V
volt,V
nos,No
degree,C
pf,PF
degree,C
hz,Hz
amps,A
volts,V
v,V
deg celcius,C
nos,No
amps,A
amps,A
v,V
pf,PF
volt,V
pf,PF
nos,No
amps,A
degree,C
volts,V
deg celcius,C
amps,A
hz,Hz
v,V
volt,V
v,V
amps,A
amps,A
nos,No
degree,C
volt,V
hz,Hz
deg celcius,C
v,V
amps,A
amps,A
volts,V
v,V
pf,PF
amps,A
volts,V
volt,V
amps,A
nos,No
hz,Hz
v,V
degree,C
amps,A
v,V
pf,PF
deg celcius,C
amps,A
degree,C
nos,No
pf,PF
v,V
volt,V
volts,V
amps,A
v,V
amps,A
deg celcius,C
hz,Hz
v,V
deg celcius,C
degree,C
v,V
amps,A
volts,V
hz,Hz
amps,A
amps,A
pf,PF
volt,V
nos,No
degree,C
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
amps,A
v,V
v,V
volts,V
volt,V
nos,No
v,V
volts,V
volt,V
nos,No
degree,C
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
amps,A
v,V
deg celcius,C
deg celcius,C
pf,PF
amp,A
amp,A
amps,A
v,V
volts,V
volts,V
hrs,Hr
hrs,Hr
hrs,Hr
v,V
kwh,Kwh
hz,Hz
amps,A
kpa,bar
rpm,rpm
amps,A
pf,PF
kwh,Kwh
hz,Hz
amp,A
kpa,bar
amps,A
amp,A
v,V
v,V
hrs,Hr
deg celcius,C
hrs,Hr
volts,V
hrs,Hr
deg celcius,C
volts,V
rpm,rpm
nos,No
degree,C
v,V
amps,A
deg celcius,C
volts,V
v,V
amps,A
amps,A
hz,Hz
pf,PF
volt,V
v,V
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
volts,V
nos,No
amps,A
volt,V
degree,C
v,V
v,V
volts,V
hz,Hz
deg celcius,C
nos,No
amps,A
degree,C
v,V
volt,V
amps,A
pf,PF
amps,A
nos,No
v,V
amps,A
hz,Hz
degree,C
deg celcius,C
volt,V
volts,V
amps,A
v,V
amps,A
pf,PF
volt,V
amps,A
pf,PF
amps,A
deg celcius,C
hz,Hz
degree,C
volts,V
amps,A
v,V
nos,No
v,V
degree,C
nos,No
amps,A
hz,Hz
v,V
deg celcius,C
v,V
amps,A
amps,A
volts,V
volt,V
pf,PF
degree,C
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
amps,A
v,V
v,V
volts,V
volt,V
nos,No
deg celcius,C
pf,PF
amps,A
amps,A
amps,A
v,V
volts,V
volt,V
nos,No
v,V
degree,C
hz,Hz
amps,A
pf,PF
amps,A
volts,V
v,V
volt,V
amps,A
v,V
hz,Hz
nos,No
degree,C
deg celcius,C
v,V
volt,V
deg celcius,C
degree,C
pf,PF
hz,Hz
amps,A
amps,A
amps,A
v,V
volts,V
nos,No
v,V
degree,C
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
amps,A
v,V
volts,V
volt,V
nos,No
deg celcius,C
pf,PF
amps,A
amps,A
amps,A
v,V
v,V
volts,V
volt,V
nos,No
degree,C
hz,Hz
volts,V
amps,A
degree,C
amps,A
v,V
v,V
volt,V
nos,No
amps,A
deg celcius,C
pf,PF
hz,Hz
degree,C
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
amps,A
amps,A
v,V
v,V
volts,V
volt,V
nos,No
amps,A
hz,Hz
v,V
nos,No
pf,PF
volt,V
deg celcius,C
volts,V
amps,A
degree,C
v,V
degree,C
nos,No
amps,A
deg celcius,C
pf,PF
amps,A
v,V
hz,Hz
amps,A
v,V
volts,V
volt,V
deg celcius,C
pf,PF
amps,A
amps,A
amps,A
v,V
volts,V
volt,V
nos,No
degree,C
hz,Hz
v,V
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
v,V
v,V
volt,V
nos,No
degree,C
amps,A
volts,V
deg celcius,C
amps,A
v,V
nos,No
volts,V
v,V
hz,Hz
pf,PF
amps,A
degree,C
amps,A
volt,V
volt,V
pf,PF
volts,V
v,V
amps,A
degree,C
deg celcius,C
nos,No
v,V
amps,A
hz,Hz
amps,A
volts,V
volt,V
nos,No
v,V
degree,C
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
amps,A
v,V
volt,V
nos,No
degree,C
deg celcius,C
pf,PF
hz,Hz
amps,A
amps,A
amps,A
v,V
v,V
volts,V
amps,A
deg celcius,C
amps,A
degree,C
nos,No
v,V
volts,V
v,V
hz,Hz
volt,V
pf,PF
amps,A
v,V
nos,No
v,V
amps,A
deg celcius,C
hz,Hz
volt,V
amps,A
amps,A
volts,V
degree,C
pf,PF
pf,PF
degree,C
v,V
amps,A
v,V
volt,V
amps,A
deg celcius,C
nos,No
volts,V
hz,Hz
amps,A
degree,C
nos,No
amps,A
amps,A
amps,A
v,V
v,V
pf,PF
volts,V
v,V
degree,C
